japanese,arabic,inference,match
一兆, (1000000000000), (10000000000000), False
八十九万, (890000), (890000), True
五十六万, (560000), (560000), True
五十九, (59), (59), True
陸百, (600), (600), True
捌百玖拾, (890), (809), False
参拾参, (33), (33), True
三千八百, (3800), (3800), True
伍拾捌万, (580000), (580000), True
伍拾兆, (50000000000000), (500000000000000), False
千, (1000), (1000), True
二万三千四百, (23400), (23400), True
四千九百, (4900), (40900), False
拾, (10), (10), True
参拾万, (300000), (3000000), False
八千億, (800000000000), (80000000000), False
百兆, (100000000000000), (10000000000000), False
千十, (1010), (1000), False
肆拾肆, (44), (44), True
壱兆, (1000000000000), (10000000000000), False
百二十一, (121), (120), False
六千百十一, (6111), (611), False
陸, (6), (66), False
十二万, (120000), (120000), True
玖拾玖億, (9900000000), (990000000000), False
漆拾漆, (77), (77), True
壱千兆, (1000000000000000), (10000000000000000000000), False
漆拾億, (7000000000), (70000000000), False
三, (3), (3), True
玖百, (900), (900), True
萬, (10000), (10000), True
五千五百, (5500), (5500), True
四十八万, (480000), (480000), True
陸千四百万, (64000000), (64000000), True
弐, (2), (2), True
仟, (1000), (1000), True
七万八千九百, (78900), (78900), True
三百五十七, (357), (357), True
七拾二万参千, (723000), (720000), False
壱万参仟, (13000), (10000), False
